,Round1,Round2,Round3,Round4,Finals
AnthonyAshnault,MD,Dec,Dec,Dec,Dec
MalikAmine,,,,,
ChristianMonserrat,,,,,
DavionJeffries,Dec,,,,
JustinOliver,Dec,,,,
CortlandtSchuyler,,,,,
RussellRohlfing,,,,,
JarrettDegen,MD,Dec,,,
MatthewKolodzik,Dec,Dec,Dec,,
MichaelSprague,,,,,
KhristianOlivas,,,,,
BradyBerge,Dec,,,,
AnthonyArtalona,,,,,
ThomasThorn,Dec,,,,
MatthewZovistoski,,,,,
BrockMauller,MD,Dec,,,
MitchFinesilver,TF,MD,,,
ParkerKropman,,,,,
ColeMartin,SV,,,,
RequirvanderMerwe,,,,,
JoshuaHeil,Fall,,,,
HenryPohlmeyer,,,,,
TejonAnthony,,,,,
AustinOConnor,Dec,Dec,SV,,
KadenGfeller,,,,,
RyanBlees,SV,,,,
JoshuaMaruca,,,,,
PatLugo,Dec,SV,,,
MaxThomsen,Dec,,,,
JaredPrince,,,,,
ShayneOster,,,,,
MicahJordan,Fall,MD,Dec,Dec,
