,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,DerekWhite,MD,Dec,Dec,SV,,1.0,4.0,12.0
1,BrandonNgati,,,,,,0.0,0.0,0.0
2,DavidJensen,,,,,,0.0,0.0,0.0
3,ChaseSingletary,Dec,,,,,0.0,1.0,0.0
4,MattStencel,Dec,MD,,,,1.0,2.0,0.0
5,HaydnMaley,,,,,,0.0,0.0,0.0
6,GannonGremmel,,,,,,0.0,0.0,0.0
7,DemetriusThomas,Dec,,,,,0.0,1.0,0.0
8,MasonParris,,,,,,0.0,0.0,0.0
9,SamStoll,Dec,Dec,,,,0.0,2.0,0.0
10,CoryGillilandDaniel,,,,,,0.0,0.0,0.0
11,ConanJennings,Dec,,,,,0.0,1.0,0.0
12,MattVoss,,,,,,0.0,0.0,0.0
13,ZachElam,SV,,,,,0.0,1.0,0.0
14,ColtonMcKiernan,,,,,,0.0,0.0,0.0
15,JordanWood,Dec,Dec,Dec,,,0.0,3.0,0.0
16,GableSteveson,TF,MD,MD,,,3.5,3.0,0.0
17,ZackParker,,,,,,0.0,0.0,0.0
18,BrianAndrews,Dec,,,,,0.0,1.0,0.0
19,AjNevills,,,,,,0.0,0.0,0.0
20,ThomasHaines,MD,,,,,1.0,1.0,0.0
21,BillyMiller,,,,,,0.0,0.0,0.0
22,CaryMiller,,,,,,0.0,0.0,0.0
23,AmarDhesi,MD,TF,,,,2.5,2.0,0.0
24,TrentHillger,Dec,Dec,,,,0.0,2.0,0.0
25,IanButterbrodt,,,,,,0.0,0.0,0.0
26,JeramySweany,,,,,,0.0,0.0,0.0
27,YoussifHemida,Dec,,,,,0.0,1.0,0.0
28,TateOrndorff,Dec,,,,,0.0,1.0,0.0
29,JosephGoodhart,,,,,,0.0,0.0,0.0
30,AntonioPelusi,,,,,,0.0,0.0,0.0
31,AnthonyCassar,Fall,MD,Dec,Dec,MD,4.0,5.0,16.0
