,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace
DerekWhite,,,,,,,,,
BrandonNgati,,,,,,,,,
DavidJensen,MD,,,,,,,,
ChaseSingletary,,Dec,,,,,,,
MattStencel,,,,Fall,,,,,Dec
HaydnMaley,,,,,,,,,
GannonGremmel,Dec,,,,,,,,
DemetriusThomas,,,,,,,,,
MasonParris,Fall,Fall,MD,,,,,,
SamStoll,,,,,,,,,
CoryGillilandDaniel,,,,,,,,,
ConanJennings,,Dec,,,,,,,
MattVoss,Dec,Dec,,,,,,,
ZachElam,,Fall,TB,,,,,,
ColtonMcKiernan,,,,,,,,,
JordanWood,,,,,,Dec,,,
GableSteveson,,,,,,Dec,Dec,,
ZackParker,,,,,,,,,
BrianAndrews,,,,,,,,,
AjNevills,,,,,,,,,
ThomasHaines,,,,,,,,,
BillyMiller,Dec,,,,,,,,
CaryMiller,,,,,,,,,
AmarDhesi,,,,MD,Fall,,,Dec,
TrentHillger,,,,Dec,,,,,
IanButterbrodt,Dec,MD,Dec,,,,,,
JeramySweany,,,,,,,,,
YoussifHemida,,Fall,Fall,Dec,Dec,,,,
TateOrndorff,,Dec,,,,,,,
JosephGoodhart,Dec,,,,,,,,
AntonioPelusi,,,,,,,,,
AnthonyCassar,,,,,,,,,
JacobAven,Dec,,,,,,,,
